Country/Region,Mean_confirmed,Mean_death,Mean_recovered,n_confirmed,n_death,n_recovered,SD_confirmed,SD_death,SD_recovered,Health_exp_public_pct_2016,Health_exp_per_capita_USD_2016,Nurse_midwife_per_1000_2009.18,Specialist_surgical_per_1000_2008.18
Chad,10.643835616438356,1.9090909090909092,9.055555555555555,74,34,55,16.888005163933578,2.578318691071232,14.955804914110466,18.9,31.7,0.4,0.3
Chile,1120.0786516853932,15.042857142857143,593.3472222222222,90,71,73,1410.9488685465205,15.657045193209179,645.6818900130055,58.5,1190.5,0.9,59.3
China,643.0615384615385,35.54615384615385,610.4692307692308,131,131,131,1689.6440694581152,119.64865305924218,880.6351670785854,58,398.3,2.3,40.1
Colombia,316.48837209302326,13.057142857142857,93.74666666666667,87,71,76,325.6176662423024,8.640795914571012,110.09321521345463,62.3,340.4,1.3,22.7
Congo (Brazzaville),7.922077922077922,0.3050847457627119,3,78,60,60,16.62256411420002,0.8148246540405253,6.977797300897597,42.3,70.4,1.7,0.2
Congo (Kinshasa),37.888888888888886,1,6.861538461538461,82,72,66,45.720345580496215,1.7968225924034427,11.439893087181972,12.3,20.5,0.5,0.2
Costa Rica,12.267441860465116,0.1232876712328767,9.394366197183098,87,74,72,8.554908351837835,0.33104235544094696,7.488045469259532,74.8,888.9,0.8,25.5
Cote d'Ivoire,34.96296296296296,0.5079365079365079,19.12,82,64,76,29.653601992188253,0.839988783969203,18.345748458062058,25.8,67.6,0.9,2.8
Croatia,23.385416666666668,1.3972602739726028,26.21518987341772,97,74,80,26.75989528406334,1.6050244548794368,25.572757382726518,78.2,884.5,8.1,81.2
Cuba,25.525,1.1081081081081081,26.58823529411765,81,75,69,19.09667278329932,1.3092669450337524,20.062019729959967,89.6,970.6,7.8,100.9
Cyprus,11.349397590361447,0.22857142857142856,11.242857142857142,84,71,71,11.851143543608504,0.5939655133557006,32.06218401625721,42.2,1634.4,5.3,84.4
Czechia,101.81318681318682,4.557142857142857,86.25,92,71,77,91.97728126347435,3.585945650896026,78.45102506234915,81.9,1321.6,8.4,124.5
Denmark,126.25531914893617,7.346153846153846,122.77906976744185,95,79,87,88.20600717969963,5.6862260624395535,134.62107178497817,84.1,5565.6,10.3,69
Djibouti,45.310810810810814,0.45098039215686275,25.79310344827586,75,52,59,70.22350339786935,1.006254947619063,36.1448152699857,45.8,70.2,0.5,4.4
Ecuador,429.5824175824176,43.02564102564103,275.90140845070425,92,79,72,1294.892119624334,72.65055560767054,1714.894908524631,51.2,504.8,1.2,59.4
Egypt,233.49532710280374,11.404761904761905,64.90322580645162,108,85,94,315.35195593183425,8.93230099959954,79.1328086353855,29.3,131,1.4,50.1
El Salvador,34.465753424657535,0.7377049180327869,18.210526315789473,74,62,58,34.176454773466496,1.0312070491138414,26.78001443114493,64.5,293.9,2.3,22.3
Estonia,19.872340425531913,1,21.07792207792208,95,68,78,23.932806494884254,1.2909944487358056,77.87654978330603,75.4,1185.3,6.5,65
Eswatini,3.641025641025641,0.022222222222222223,3.3636363636363638,79,46,56,5.284071528794053,0.149071198499986,6.92115285934048,69.3,220.6,2,0.2
Ethiopia,14.822784810126583,0.16071428571428573,3.106060606060606,80,57,67,27.579609475336557,0.4964157243969729,4.581329292746603,27.6,27.5,0.8,0.5
Finland,55.75609756097561,4.492957746478873,50.44954128440367,124,72,110,56.96696504078146,5.8281907004701115,182.74549628328663,77.4,4117.3,14.7,76.3
France,1476.6171875,271.7358490566038,628.1743119266055,129,107,110,2989.631539515274,339.8153925123462,648.9478499283324,82.9,4263.4,9.7,58.6
Gambia,0.32,0,0.3,76,70,61,0.9028483455902967,0,0.979449862881356,18.6,20.9,1.6,1.8
Georgia,8.2315789473684209,0.19298245614035087,7.947368421052632,96,58,77,7.791775030036546,0.398147338629992,7.790412461210861,36.6,308,4.1,130.4
Germany,1467.272,102.86746987951807,1531.0277777777778,126,84,109,1858.0629150777152,98.7619422953976,1894.1593033614947,84.7,4714.3,13.2,108
Greece,30.694736842105264,2.1481481481481484,17.512820512820515,96,82,79,34.03817434043741,1.9944367068868787,98.26597138481422,60.7,1510.7,3.4,163.5
Guatemala,65.2051282051282,1.4078947368421053,10.91044776119403,79,77,68,93.55606125065653,2.5621742411680866,29.230915215605663,37.2,241.4,0.9,3.4
Guyana,1.9,0.1375,1.1272727272727272,81,81,56,3.5883073122418887,0.38132845737639803,2.1435047922999364,58.9,192.3,1.3,8.8
Haiti,29.47222222222222,0.7678571428571429,0.48936170212765956,73,57,48,63.51909377396229,1.3210336370168132,2.2829456603402987,15.3,37.7,0.7,5.9
Honduras,64.19753086419753,3.196969696969697,8.34375,82,67,65,91.85279252057153,3.329216572060608,12.22957480863501,45.9,199.6,0.9,13.7
Hungary,44.02272727272727,6.818181818181818,27.512820512820515,89,78,79,36.75422480140686,4.9437021944651764,34.21921067111833,65.9,942.6,6.6,55.7
Iceland,19.408602150537636,0.06666666666666667,22.4125,94,76,81,28.028028114394687,0.6224045206996718,27.045060266343047,81.5,5063.6,15.7,101.6
India,1562.360655737705,66.75308641975309,874.7523809523809,123,82,106,2288.3443726908795,64.77741328275573,1597.9582331895645,25.4,62.7,2.1,6.8
Iran,1484.9411764705883,76.42156862745098,1250.5157894736842,103,103,96,793.3815061666834,44.453209636875435,982.0857728190406,54.5,415.4,1.9,5
Iraq,66.37113402061856,2.3068181818181817,37.98795180722892,98,89,84,78.56490411166808,2.2455982718968417,27.987145993753956,21.1,152.6,1.7,7.6
Ireland,271.6195652173913,20.382716049382715,294.4533333333333,93,82,76,285.61431161202535,27.385930649347376,1260.656513791828,72.1,4758.6,14.3,72
Israel,170.7,4,157.56382978723406,101,72,95,222.27044678758247,3.389058023361991,168.60423587522203,62.5,2837.1,5.2,75.6
Italy,1925.5785123966941,334.14,1590.969696969697,122,101,100,1865.810528751808,256.5169976843837,1305.3002348708858,74.5,2738.7,5.9,142.4
Jamaica,7.222222222222222,0.1095890410958904,4.065789473684211,82,74,77,11.10292754186931,0.35596675233387054,7.1504508507101185,60.6,296.2,1.1,11.2
Japan,128.83846153846153,8.305555555555555,113.81746031746032,131,109,127,215.36357590612243,9.966728138257382,272.91822660404785,83.6,4233,11.5,37.4
Jordan,8.292134831460674,0.12307692307692308,6.594936708860759,90,66,80,8.030060351849242,0.41486791225085645,17.198329515885213,63.2,223.5,3.4,24.5
Kazakhstan,137.39240506329114,0.5522388059701493,81.84848484848484,80,68,67,147.59737487429288,1.0340210139349975,72.61537078740336,58.8,262,8.5,73.2
Kenya,24.82278481012658,0.9545454545454546,7.119402985074627,80,67,68,31.860979870356363,1.2701522402006433,7.366020240511651,36.2,66.2,1.5,2.4
"Korea, South",88.47692307692307,2.6732673267326734,91.41228070175438,131,102,115,158.46214501044673,2.60809858284187,163.8825832319828,59.2,2043.9,7,49.6
Kyrgyzstan,23.58108108108108,0.25862068965517243,18.822580645161292,75,59,63,18.752904254897047,0.6638628273969833,15.767287357314945,39.1,72.9,6.4,50.1
Latvia,11.833333333333334,0.39655172413793105,9.073170731707316,91,59,83,10.740294809001737,0.7709564616103359,28.800197396359216,54.6,874.2,4.8,67.6
Lebanon,12.19,0.3170731707317073,8.079545454545455,101,83,89,13.06525579890838,0.6261394310954539,43.98803954235195,52.1,662.1,2.6,87.4
Liberia,3.776315789473684,0.45614035087719296,2.7017543859649122,77,58,58,4.815526787965574,0.8466356831305157,4.562913043067606,14.2,68.3,0.1,0.6
Lithuania,18,0.971830985915493,16.038961038961038,94,72,78,23.772472205948812,1.2185686097797053,19.09701103537683,65.6,987.9,7.9,130.9
Luxembourg,43.66304347826087,1.3974358974358974,54.67142857142857,93,79,71,59.76902008619532,1.8399586640595718,274.7863318241101,81.2,6271.4,12.3,80.8
